,Job_Title,Salary_Estimate,Rating,Company_Name,Location,Headquarters,Size,Founded,Ownership_Type,Industry,Sector,Revenue,Competitors,Easy_Apply,Minimum_Salary,Maximum_Salary
0,Data Analyst,$37K-$66K,3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 ,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),0,True,37000,66000
1,Data Analyst,$37K-$66K,3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ ,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,37000,66000
2,Data Analyst,$37K-$66K,3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 ,2003,Company - Private,Internet,Information Technology,0,GoDaddy,0,37000,66000
3,Data Analyst,$37K-$66K,4.1,Celerity,"New York, NY","McLean, VA",201 to 500 ,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),0,0,37000,66000
4,Data Analyst,$37K-$66K,3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 ,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),DraftKings,True,37000,66000
5,Data Analyst,$37K-$66K,3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 ,2014,Company - Private,Investment Banking & Asset Management,Finance,0,0,0,37000,66000
6,Data Analyst,$37K-$66K,4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 ,2001,Company - Private,Investment Banking & Asset Management,Finance,0,0,0,37000,66000
7,Data Analyst,$37K-$66K,3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 ,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",True,37000,66000
8,Data Analyst,$37K-$66K,4,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 ,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",0,37000,66000
9,Data Analyst,$37K-$66K,4.4,Riskified,"New York, NY","New York, NY",501 to 1000 ,2013,Company - Private,Research & Development,Business Services,0,"Signifyd, Forter",0,37000,66000
10,Data Analyst,$37K-$66K,4,NYU Langone Health,"New York, NY","New York, NY",10000+ ,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",0,37000,66000
11,Data Analyst,$37K-$66K,-1,BulbHead,"Fairfield, NJ",0,1 to 50 ,0,Company - Private,0,0,0,0,0,37000,66000
12,Data Analyst,$37K-$66K,3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ ,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),0,0,37000,66000
13,Data Analyst,$37K-$66K,3,Known,"New York, NY","New York, NY",201 to 500 ,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),0,True,37000,66000
14,Data Analyst,$37K-$66K,3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 ,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),0,0,37000,66000
15,Data Analyst,$37K-$66K,3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,Building & Personnel Services,Business Services,0,0,0,37000,66000
16,Data Analyst,$37K-$66K,3.8,Undertone,"New York, NY","New York, NY",201 to 500 ,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,0,"DoubleClick, Specific Media, Collective",True,37000,66000
17,Data Analyst,$37K-$66K,3.8,NYSTEC,"New York, NY","Rome, NY",51 to 200 ,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),"KPMG, Accenture, Deloitte",0,37000,66000
18,Data Analyst,$37K-$66K,3.9,"Education Development Center, Inc.","New York, NY","Waltham, MA",501 to 1000 ,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),0,0,37000,66000
19,Data Analyst,$37K-$66K,4.9,Teachers Pay Teachers,"New York, NY","New York, NY",51 to 200 ,2006,Company - Private,Internet,Information Technology,0,0,0,37000,66000
20,Data Analyst,$37K-$66K,4.4,Google,"New York, NY","Mountain View, CA",10000+ ,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",0,37000,66000
21,Data Analyst,$37K-$66K,-1,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,0,Company - Public,0,0,0,0,0,37000,66000
22,Data Analyst,$37K-$66K,3.3,Macquarie Group,"New York, NY","Sydney, Australia",10000+ ,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),"Goldman Sachs, Commonwealth Bank of Australia, Deutsche Bank",0,37000,66000
23,Data Analyst,$37K-$66K,3.5,Andiamo,"New York, NY","Warren, MI",201 to 500 ,0,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),0,0,37000,66000
24,Data Analyst,$37K-$66K,3.8,Dash Technologies Inc,"New York, NY","Columbus, OH",1 to 50 ,0,Unknown,0,0,0,0,0,37000,66000
25,Data Analyst,$37K-$66K,4,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 ,0,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),0,0,37000,66000
26,Data Analyst,$37K-$66K,5,Duolingo,"New York, NY","Pittsburgh, PA",201 to 500 ,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),0,0,37000,66000
27,Data Analyst,$37K-$66K,4.8,Ro,"New York, NY","New York, NY",51 to 200 ,2017,Company - Private,Health Care Services & Hospitals,Health Care,0,0,0,37000,66000
28,Data Analyst,$37K-$66K,3.7,Endai,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),0,0,37000,66000
29,Data Analyst,$37K-$66K,4.7,BlueLabs,"New York, NY","Washington, DC",1 to 50 ,0,Company - Private,Research & Development,Business Services,0,0,0,37000,66000
30,Data Analyst,$46K-$87K,3.6,Revel,"Brooklyn, NY","Seattle, WA",51 to 200 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),0,True,46000,87000
31,Data Analyst,$46K-$87K,3.6,NALLAS CORPORATION,"Jersey City, NJ","Newtown, PA",1 to 50 ,0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),0,0,46000,87000
32,Data Analyst,$46K-$87K,3.5,Pozent,"New York, NY","Piscataway, NJ",1 to 50 ,0,Contract,0,0,Less than $1 million (USD),0,0,46000,87000
33,Data Analyst,$46K-$87K,3.2,SoFi,"New York, NY","San Francisco, CA",1001 to 5000 ,2011,Company - Private,Lending,Finance,0,0,0,46000,87000
34,Data Analyst,$46K-$87K,-1,Carry1st,"New York, NY",0,0,0,0,0,0,0,0,0,46000,87000
35,Data Analyst,$46K-$87K,3.7,Bank of America,"New York, NY","Charlotte, NC",10000+ ,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),0,0,46000,87000
36,Data Analyst,$46K-$87K,-1,Clear Street,"New York, NY","New York, NY",51 to 200 ,2018,Company - Public,0,0,$1 to $5 million (USD),0,0,46000,87000
37,Data Analyst,$46K-$87K,3.6,Nutech Information Systems,"New York, NY","Westmont, IL",1 to 50 ,0,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),0,0,46000,87000
39,Data Analyst,$46K-$87K,4.6,The Trevor Project,"New York, NY","West Hollywood, CA",51 to 200 ,0,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),0,0,46000,87000
40,Data Analyst,$46K-$87K,-1,Pinto,"New York, NY","New York, NY",1 to 50 ,0,Company - Private,0,0,0,0,0,46000,87000
41,Data Analyst,$46K-$87K,-1,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 ,0,Company - Public,0,0,0,0,0,46000,87000
42,Data Analyst,$46K-$87K,5,Whip Media Group,"New York, NY","Santa Monica, CA",51 to 200 ,2016,Company - Private,0,0,0,0,0,46000,87000
43,Data Analyst,$46K-$87K,4,Two95 International Inc.,"New York, NY","Cherry Hill, NJ",1 to 50 ,0,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),0,0,46000,87000
44,Data Analyst,$46K-$87K,3,Vettery,"New York, NY","New York, NY",201 to 500 ,2013,Company - Private,Internet,Information Technology,0,"Hired, Indeed, AngelList",0,46000,87000
45,Data Analyst,$46K-$87K,2.9,"Nesco Resource, LLC","New York, NY","Cleveland, OH",1001 to 5000 ,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),0,0,46000,87000
46,Data Analyst,$46K-$87K,4,Hearst Communications,"New York, NY","San Francisco, CA",1 to 50 ,0,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),0,0,46000,87000
