Job Title,Company Name,Rating,Salary Estimate Average,Salary Estimate Min,Salary Estimate Max,Location,State,Size,Founded,Type of ownership,Industry,Sector,Revenue (millions),Easy Apply,Competitors
Data Engineer,Sagence,4.5,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2009,Company - Private,Consulting,Business Services,2.5,0,"WCI Consulting, PwC"
Data Engineer,Enterprise Integration,3.4,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),1998,Company - Private,IT Services,Information Technology,5.0,0,0
Data Engineer,Maestro Technologies,5.0,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2003,Company - Private,IT Services,Information Technology,1.0,0,0
Data Engineer,Jane Street,4.8,115000.0,80000,150000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2000,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,GNY Insurance Companies,3.7,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),1914,Company - Private,Insurance Carriers,Insurance,50.0,True,"Travelers, Chubb, Crum & Forster"
Data Engineer,Oscar Health,3.7,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2012,Company - Private,Insurance Agencies & Brokerages,Insurance,500.0,True,0
Data Engineer,Affinity Solutions,3.0,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),1998,Company - Private,Advertising & Marketing,Business Services,0.0,True,"Commerce Signals, Cardlytics, Yodlee"
Data Engineer,NJF Global Holdings,4.2,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2003,Company - Private,Staffing & Outsourcing,Business Services,2.5,True,0
Data Engineer,Conductor,4.4,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2010,Company - Private,Internet,Information Technology,5.0,True,"Brightedge Technologies, Moz, seoClarity"
Data Engineer,Jane Street,4.8,115000.0,80000,150000.0,"New York, NY", NY,"Mid-Market(501-5,000 Employees)",2000,Company - Private,Investment Banking & Asset Management,Finance,0.0,0,0
Data Engineer,Twitter,4.0,115000.0,80000,150000.0,"New York, NY", NY,VSB (<50 Employees),2006,Company - Public,Internet,Information Technology,500.0,0,"Facebook, Google, Pinterest"
Data Engineer,Verra Mobility,3.9,115000.0,80000,150000.0,"Jersey City, NJ", NJ,"Mid-Market(501-5,000 Employees)",1987,Company - Public,Transportation Management,Transportation & Logistics,0.0,0,0
Data Engineer,7Park Data,3.9,115000.0,80000,150000.0,"New York, NY", NY,SMB(51-500 Employees),2012,Company - Private,Research & Development,Business Services,0.0,0,0
